Model number,Model size (MB),Quality (surface),Quality (volume),Time per 100k batch (ms),Time per point (ns)
0,0.6784,0.7778,0.9981,0.30507,3.0507
1,0.6784,0.9498,0.9991,0.26258,2.6258
2,0.6784,0.9794,0.9999,0.26266,2.6266
3,0.6784,0.9856,1.0000,0.50696,5.0696
4,0.6784,0.8994,0.9967,0.62301,6.2301
5,0.6784,0.8815,0.9981,0.52582,5.2582
6,0.6784,0.9393,0.9999,0.45832,4.5832
7,0.6784,0.8926,0.9988,0.53227,5.3227
8,0.6784,0.9329,0.9998,0.51372,5.1372
9,0.6784,0.9238,0.9990,0.46130,4.6130
10,0.6784,0.9405,0.9947,0.26205,2.6205
11,0.6784,0.9733,0.9992,0.26330,2.6330
12,0.6784,0.9872,0.9979,0.26158,2.6158
13,0.6784,0.8766,0.9991,0.26207,2.6207
14,0.6784,0.8904,0.9995,0.26159,2.6159
15,0.6784,0.8172,0.9909,0.26345,2.6345
16,0.6784,0.8496,0.9956,0.26228,2.6228
17,0.6784,0.7690,0.9941,0.26351,2.6351
18,0.6784,0.8594,0.9961,0.26303,2.6303
19,0.6784,0.8464,0.9992,0.26130,2.6130
20,0.6784,0.8331,0.9962,0.26227,2.6227
21,0.6784,0.9724,0.9997,0.26163,2.6163
22,0.6784,0.9536,0.9998,0.26357,2.6357
23,0.6784,0.9396,0.9998,0.26157,2.6157
24,0.6784,0.9897,0.9998,0.26285,2.6285
25,0.6784,0.9319,0.9997,0.26206,2.6206
26,0.6784,0.8791,0.9976,0.26246,2.6246
27,0.6784,0.8822,0.9983,0.26195,2.6195
28,0.6784,0.9223,0.9991,0.46384,4.6384
29,0.6784,0.9725,0.9995,0.47069,4.7069
30,0.6784,0.9895,0.9999,0.53050,5.3050
31,0.6784,0.9641,0.9999,0.46394,4.6394
32,0.6784,0.9374,0.9982,0.46299,4.6299
33,0.6784,0.8898,0.9979,0.46334,4.6334
34,0.6784,0.9549,0.9988,0.46419,4.6419
35,0.6784,0.8705,0.9992,0.46190,4.6190
36,0.6784,0.8343,0.9965,0.46361,4.6361
37,0.6784,0.9693,0.9991,0.46321,4.6321
38,0.6784,0.9896,0.9993,0.60484,6.0484
39,0.6784,0.9170,0.9997,0.63949,6.3949
40,0.6784,0.9787,0.9995,0.64417,6.4417
41,0.6784,0.9738,0.9998,0.64105,6.4105
42,0.6784,0.9726,0.9995,0.64405,6.4405
43,0.6784,0.9387,0.9996,0.69955,6.9955
44,0.6784,0.9944,0.9996,0.70641,7.0641
45,0.6784,0.9783,0.9999,0.70813,7.0813
46,0.6784,0.8390,0.9939,0.70672,7.0672
47,0.6784,0.9326,0.9997,0.71281,7.1281
48,0.6784,0.9314,0.9988,0.75666,7.5666
49,0.6784,0.9452,1.0000,0.66787,6.6787
